Item,Reference,Qty,Circuit,Description,Mfr,Mfr Part Number,DigiKey Part Number,Unit price USD approx,Footprint action,Notes
1,"R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33",12,-,"Resistance axiale 1 kOhm 1% 1/4W traversante",YAGEO,MFR-25FBF52-1K,1.00KXBK-ND,0.10,"Empreinte axiale (choisir l'entraxe, ex. 10,16 mm)","Resistances serie R/G/B des LED RGB. ~0,02 $ en bande de 10+. 5% carbone encore moins cher: CFR-25JB-52-1K (1.0KQBK-ND)."
2,"D1,D2,D21,D22",4,-,"LED RGB 6-PLCC / 5050 SMD, canaux independants",Wurth Elektronik,150352M173300,732-11999-1-ND,0.52,"REDESSINER empreinte + relier les 3 anodes ensemble (anode commune)","Seul composant SMD restant (4 pieces, se soude bien au fer). Carte = anode commune ; le schema pilote les cathodes R/G/B via R22-R33. Option 100% THT : Kingbright WP154A4SEJ3VBDZGW/CA (5 mm anode commune, 754-2029-ND, ~2,20 $)."
3,"SW1,SW2,SW3,SW4,SW5",5,SPST-NO,"Poussoir tactile 6 mm THT, NORMALEMENT OUVERT, momentane",Omron,B3F-1000,SW400-ND,0.40,"6 mm THT (garder)","NO. SW1 TEST / SW2 COIN / SW3 SERVICE / SW4 1P SELECT / SW5 2P SELECT. En parallele de J31/J32/J33/J20/J21. Budget: Same Sky TS02-66-70-BK-160-LCR (~0.10)."
4,"SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21",16,SPST-NC,"Bouton tactile SPST-NC (normalement ferme, appui = ouverture), momentane, CMS",Same Sky (ex-CUI),TS10-63-26-BE-250-SMT-TR,2223-TS10-63-26-BE-250-SMT-TRCT-ND,0.65,"Empreinte CMS 2 pattes, corps 6,0 x 3,8 mm (datasheet TS10)","*** NC - ne pas confondre avec SW1-5 (NO). *** En serie dans le retour GND de chaque bouton joueur ; un poussoir NO ici = boutons joueurs morts. Vrai tact-switch NC : appui = coupe le circuit. ~0,46 $ par 100. Seul bemol : CMS (2 languettes, se soude bien au fer). ~10 $ les 16. Force 250 gf, 0,05 A / 12 V (large pour du courant logique). Alternative THT : micro-rupteur SPDT COM+NC (CIT SM3 ~1,3 $)."
5,"J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19",16,-,"Embase JST XH male 1x03, pas 2,50 mm, verticale, THT",JST,B3B-XH-A(LF)(SN),455-2248-ND,0.13,"Garder","Boutons 1P/2P B1..B8."
6,"J20,J21,J27,J28,J29,J30,J31,J32,J33",9,-,"Embase JST XH male 1x02, pas 2,50 mm, verticale, THT",JST,B2B-XH-A(LF)(SN),455-2247-ND,0.11,"Garder","1P/2P SELECT, COIN METER, COIN LOCKOUT, CAMERA LED x2, TEST/COIN/SERVICE BUTTON."
7,"J25,J26",2,-,"Embase JST XH male 1x04, pas 2,50 mm, verticale, THT",JST,B4B-XH-A(LF)(SN),455-2249-ND,0.15,"Garder","1P / 2P CODE READER LED."
8,"J23,J24",2,-,"Embase JST XH male 1x08, pas 2,50 mm, verticale, THT",JST,B8B-XH-A(LF)(SN),455-B8B-XH-A-ND,0.28,"Garder","BILLBOARD LED L / R. Ancien n DigiKey 455-2251-ND retire."
9,"J1,J3",2,-,"Box header IDC a detrompeur 2x30 (60 pos), pas 2,54 mm, vertical, THT",Adam Tech,BHR-60-VUA,2057-BHR-60-VUA-ND,1.80,"Garder, ou header nu 2x30 (~0,40) si pas de nappe a detrompeur","CN3 From IO4 / CN3 To Harness."
10,"J2",1,-,"Box header IDC a detrompeur 2x10 (20 pos), pas 2,54 mm, vertical, THT",Adam Tech,BHR-20-VUA,2057-BHR-20-VUA-ND,0.70,"Garder, ou header nu 2x10 (~0,15)","CN9 From IO4."
11,"J22",1,-,"Bornier a vis 2 poles, pas 5,08 mm, THT",Phoenix Contact,1935161,277-1667-ND,1.40,"Pas 5,08 mm : tout bornier 5,08 mm 2P convient","Entree 12 V. Equivalent eco: Same Sky TB007-508-02BE (~0.40)."
