Item,Reference,Qty,Circuit,Description,Mfr,Mfr Part Number,DigiKey Part Number,Unit price USD approx,Footprint,Notes
1,"R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33",12,-,"Resistance 1 kOhm 1% 1/4W, boitier 1206 CMS, film epais",YAGEO,RC1206FR-071KL,311-1.00KFRCT-ND,0.03,"Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Ballast serie R/G/B des LED de test D1/D2/D3/D4 (anode +12V, cathode -> R -> signal IO4). Dissipation continue : ~0,07 W (vert/bleu) a ~0,10 W (rouge, Vf plus bas) sous 12 V. 1/4 W (0,25 W) = ~40% de charge -> tourne froid, OK LED allumee en permanence. 5% (RC1206JR-071KL / 311-1.0KERCT-ND) equivalent ici."
2,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16",16,-,"Resistance 51 Ohm 5% 1W, boitier 2512 CMS, film epais (valeur schema = 50)",Bourns,CR2512-JW-510ELF,118-CR2512-JW-510ELFCT-ND,0.09,"Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","Pull-down du retour GND de chaque bouton joueur (isolement via SWx vers +5V). Dissipe ~0,5 W tant que SWx est maintenu -> 1 W = 50% de charge : point chaud ~60-80 C avec du cuivre sur les pastilles, OK en continu. Empreinte ~8x4 mm (moitie de la version THT, hauteur nulle). Stock ~23 k. -> PREVOIR du cuivre (plan de masse / pistes larges) sur les pastilles pour le thermique. 50,0 ohm exact = bobinee ; vrai 2W en 2512 = Bourns CRM2512 (~0,30 $)."
3,"D1,D2,D3,D4",4,-,"LED RGB 6-PLCC / 5050 SMD, canaux independants",Wurth Elektronik,150352M173300,732-11999-1-ND,0.52,"LED_RGB_Wurth:LED_RGB_Wurth_WL-SFTW_150352M173300","Anode commune : B+/R+/G+ (broches 2/4/6) reliees sur la PCB. Seul composant CMS. Option 100% THT : Kingbright WP154A4SEJ3VBDZGW/CA (754-2029-ND, ~2,20 $)."
4,"SW1,SW2,SW3,SW4,SW5",5,SPST-NO,"Poussoir tactile 6 mm THT momentane, plunger 6,0 mm, 100 gf",Same Sky,TS02-66-60-BK-100-LCR-D,2223-TS02-66-60-BK-100-LCR-D-ND,0.12,"Button_Switch_THT:SW_PUSH_6mm","SW1 TEST / SW2 COIN / SW3 SERVICE / SW4 1P SELECT / SW5 2P SELECT. En parallele de J31/J32/J33/J20/J21. Meme empreinte 6 mm 4 broches que l'Omron B3F-1000. Alternative premium : Omron B3F-1000 (SW400-ND, ~0,40 $, 1 M cycles, plunger 4,3 mm)."
5,"SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW20,SW21",16,SPST-NO,"Poussoir tactile 6 mm THT momentane, plunger 6,0 mm, 100 gf",Same Sky,TS02-66-60-BK-100-LCR-D,2223-TS02-66-60-BK-100-LCR-D-ND,0.12,"Button_Switch_THT:SW_PUSH_6mm","Isolement par bouton joueur : appui = tire le retour GND (J*.3) a +5V -> l'entree revient a HIGH (ecrase meme un bouton bloque). SW6..SW13 = 1P B1..B8, SW14..SW21 = 2P B1..B8. 21x TS02-66-60-BK-100-LCR-D = ~2,5 $ (vs ~8,4 $ en Omron B3F-1000). 100 000 cycles, contact 50 mA/12 V -> OK signal +5 V. Toucher 100 gf identique au B3F-1000 ; plunger 1,7 mm plus haut (carte fille, cosmetique). Alternative premium Omron B3F-1000 (SW400-ND, 1 M cycles, 4,3 mm)."
6,"J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19",16,-,"Embase JST XH male 1x03, pas 2,50 mm, verticale, THT",JST,B3B-XH-A(LF)(SN),455-2248-ND,0.13,"Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Boutons 1P/2P B1..B8 (broche1=+12V LED, broche2=signal, broche3=retour GND)."
7,"J20,J21,J27,J28,J29,J30,J31,J32,J33",9,-,"Embase JST XH male 1x02, pas 2,50 mm, verticale, THT",JST,B2B-XH-A(LF)(SN),455-2247-ND,0.11,"Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1P/2P SELECT, COIN METER, COIN LOCKOUT, CAMERA LED x2, TEST/COIN/SERVICE BUTTON."
8,"J25,J26",2,-,"Embase JST XH male 1x04, pas 2,50 mm, verticale, THT",JST,B4B-XH-A(LF)(SN),455-2249-ND,0.15,"Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1P / 2P CODE READER LED."
9,"J23,J24",2,-,"Embase JST XH male 1x08, pas 2,50 mm, verticale, THT",JST,B8B-XH-A(LF)(SN),455-B8B-XH-A-ND,0.28,"Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical","BILLBOARD LED L / R. Ancien n DigiKey 455-2251-ND retire."
10,"J1,J3",2,-,"Box header IDC a detrompeur 2x30 (60 pos), pas 2,54 mm, vertical, THT",Adam Tech,BHR-60-VUA,2057-BHR-60-VUA-ND,1.80,"Connector_IDC:IDC-Header_2x30_P2.54mm_Vertical","CN3 From IO4 / CN3 To Harness. Ou header nu 2x30 (~0,40) si pas de nappe a detrompeur."
